2011-08-28 15:10:32,185675,5
2011-08-28 15:25:33,185675,4
2011-08-28 15:40:33,185675,4
2011-08-28 15:55:34,185675,5
2011-08-28 16:10:35,185675,4
2011-08-28 16:25:35,185675,4
2011-08-28 16:40:36,185675,6
2011-08-28 16:55:37,185675,6
2011-08-28 17:10:37,185675,6
2011-08-28 17:25:38,185675,7
2011-08-28 17:40:39,185675,7
2011-08-28 17:55:39,185675,7
2011-08-28 18:10:40,185675,7
2011-08-28 18:25:40,185675,6
2011-08-28 18:40:41,185675,6
2011-08-28 18:55:41,185675,5
2011-08-28 19:10:42,185675,5
2011-08-28 19:25:43,185675,4
2011-08-28 19:40:43,185675,5
2011-08-28 19:55:44,185675,5
2011-08-28 20:10:44,185675,4
2011-08-28 20:25:45,185675,5
2011-08-28 20:40:45,185675,4
2011-08-28 20:55:46,185675,3
2011-08-28 21:10:47,185675,3
2011-08-28 21:25:47,185675,3
2011-08-28 21:40:48,185675,3
2011-08-28 21:55:48,185675,2
2011-08-28 22:10:49,185675,2
2011-08-28 22:25:49,185675,2
